item,counts,Rec1,Rec2,Rec3,Rec4,Rec5,Rec6,Rec7,Rec8,Rec9,Rec10,Rec11,Rec12,Rec13,Rec14,Rec15,Rec16,Send_1~5,Send_6~9,Send_10,Send_11~16
농산물,3,1,1,1,7,0,0,0,0,0,3,0,8,8,1,0,0,9,12,2,10
음료,3,2,8,1,8,5,0,0,0,2,6,0,4,0,3,0,0,7,10,3,16
농산물,3,4,1,3,9,0,0,0,0,1,8,0,0,6,1,0,0,7,7,8,18
농산물,3,4,8,1,7,0,0,0,3,2,3,0,8,4,1,0,0,9,10,1,12
농산물,3,1,1,1,1,0,0,0,0,2,6,0,2,9,2,0,0,9,7,0,14
농산물,5,2,9,1,4,0,0,0,0,0,6,0,2,0,3,0,0,7,8,5,13
농산물,5,1,1,2,9,0,0,0,0,2,1,0,8,8,2,0,0,7,7,7,20
농산물,3,4,1,1,5,0,0,0,0,3,9,0,4,2,3,0,0,7,7,8,18
농산물,3,4,2,2,3,0,0,0,0,2,1,0,3,3,4,0,0,9,8,2,13
농산물,3,4,8,7,4,0,0,0,1,2,4,0,4,8,2,0,0,9,10,1,12
가공식품,10,1,1,2,6,0,0,0,0,0,3,0,2,8,4,0,0,9,8,0,11
농산물,7,1,1,6,2,0,0,0,0,0,2,0,2,2,4,0,0,9,8,4,9
농산물,4,4,1,2,7,1,0,0,0,5,5,0,1,1,3,0,0,7,7,8,18
농산물,3,1,1,4,7,0,0,0,0,0,4,0,1,7,4,0,0,9,11,0,10
농산물,3,3,6,1,1,0,0,0,0,9,2,0,0,3,2,0,0,7,3,3,10
스킨케어,3,5,0,1,1,0,0,0,5,3,3,0,5,1,3,0,0,20,16,1,7
농산물,3,4,1,2,8,7,0,0,0,3,5,0,0,9,1,0,0,7,7,8,18
축산,9,4,3,7,1,0,0,0,3,7,2,1,0,0,4,0,0,7,4,3,17
농산물,3,4,2,1,3,0,0,0,2,5,6,0,6,0,1,0,0,7,10,9,12
농산물,3,4,2,1,3,0,0,0,2,7,9,0,9,1,1,0,0,9,15,5,13
농산물,3,4,1,1,3,5,0,0,0,1,0,0,0,6,3,0,0,9,7,0,14
농산물,3,1,1,5,0,0,0,0,0,3,0,0,6,6,3,0,0,7,14,5,14
농산물,3,3,0,1,4,0,0,0,0,1,2,0,2,2,1,0,0,9,10,1,12
가공식품,4,5,0,1,1,0,0,0,2,6,3,0,7,0,2,0,0,20,0,8,16
농산물,3,2,6,3,5,0,0,0,0,5,9,0,1,7,2,0,0,9,8,2,13
농산물,4,4,8,1,2,1,0,0,1,9,6,0,8,3,3,0,0,7,7,8,18
농산물,3,1,1,5,0,0,0,0,0,1,6,0,8,5,2,0,0,9,7,0,14
건강식품,3,4,1,5,9,0,0,0,5,9,9,0,8,0,4,0,0,7,4,8,8
농산물,3,5,0,1,1,0,0,0,4,3,1,0,2,1,1,0,0,13,0,9,10
건강식품,3,5,0,1,1,0,0,0,1,6,9,0,8,4,3,0,0,8,1,2,9
농산물,5,4,1,1,1,1,0,0,0,2,0,0,8,5,4,0,0,7,7,8,18
농산물,7,4,5,2,1,0,0,0,3,0,3,0,6,6,1,0,0,7,3,7,11
농산물,3,4,1,3,9,0,0,0,1,1,8,0,8,2,3,0,0,7,9,6,7
농산물,4,4,8,2,2,0,0,0,2,4,1,0,3,1,4,0,0,7,6,2,17
헤어케어,4,5,0,1,1,0,0,0,2,1,5,0,9,9,2,0,0,19,14,5,13
농산물,3,5,0,1,3,0,0,0,8,6,2,0,5,8,1,0,0,20,11,0,13
건강식품,3,5,0,1,1,0,0,0,3,1,7,0,0,2,4,0,0,18,8,5,9
수산,5,4,5,1,4,0,0,0,3,9,6,0,9,8,4,0,0,7,4,6,9
농산물,3,2,8,2,0,0,0,0,0,3,5,0,8,3,3,0,0,9,7,0,14
농산물,6,2,8,2,3,7,0,0,0,1,0,0,7,7,3,0,0,7,7,8,18
농산물,3,4,2,2,1,0,0,0,0,1,4,0,5,8,4,0,0,7,7,8,18
기저귀/물티슈,3,5,0,1,1,0,0,0,3,2,0,0,3,6,3,0,0,18,0,5,11
의료용품,77,5,0,1,1,0,0,0,3,7,3,0,1,6,4,0,0,15,7,1,14
농산물,3,4,6,8,1,0,0,0,2,3,2,0,0,2,3,0,0,9,9,3,14
기타디지털/가전,9,5,0,1,1,0,0,0,3,1,4,0,8,8,2,0,0,5,5,3,17
상의,5,4,1,2,7,3,0,0,0,6,5,0,7,3,1,0,0,7,7,3,11
건강용품,11,5,0,1,1,0,0,0,3,7,0,0,2,2,1,0,0,10,3,1,4
농산물,5,4,1,3,6,0,0,0,2,8,2,0,4,5,4,0,0,9,7,0,14
농산물,3,4,3,1,1,3,0,0,0,7,4,0,1,7,3,0,0,7,7,7,20
바디케어,6,5,0,1,1,0,0,0,1,7,3,0,4,0,1,0,0,15,1,9,8
농산물,3,2,9,1,7,0,0,0,0,9,4,0,6,2,4,0,0,7,7,8,18
기타스포츠/레저,5,5,0,1,3,0,0,0,3,9,6,0,6,9,3,0,0,21,7,4,13
음료,7,2,6,3,5,0,0,0,0,4,6,0,1,8,1,0,0,7,7,9,11
농산물,6,2,7,2,9,0,0,0,0,1,9,0,4,7,1,0,0,7,7,8,18
농산물,3,4,5,1,1,1,0,0,0,5,9,0,4,2,1,0,0,7,7,8,18
상의,3,5,0,1,1,0,0,0,2,1,9,0,1,0,3,0,0,16,4,3,15
농산물,3,4,1,4,5,0,0,0,0,0,6,0,4,1,3,0,0,9,14,7,10
농산물,3,1,1,3,5,0,0,0,0,1,6,0,9,4,2,0,0,9,12,1,7
농산물,3,2,7,7,1,0,0,0,0,7,8,0,3,2,2,0,0,9,7,6,13
출산/유아동의류,4,5,0,1,1,0,0,0,4,2,9,0,1,7,3,0,0,17,6,7,11
수산,3,4,6,1,3,0,0,0,2,6,5,0,9,6,4,0,0,7,7,8,20
농산물,6,4,1,8,3,0,0,0,7,7,9,0,9,5,2,0,0,9,15,5,13
농산물,10,2,8,1,1,0,0,0,0,5,2,0,9,2,4,0,0,9,7,0,14
농산물,3,1,1,6,8,0,0,0,0,2,5,0,4,7,3,0,0,7,7,6,9
농산물,3,2,6,2,6,0,0,0,0,0,4,0,9,8,3,0,0,9,7,0,14
농산물,3,4,3,1,1,1,0,0,0,1,2,0,0,3,1,0,0,9,14,3,18
농산물,3,4,1,2,8,5,0,0,0,3,2,0,9,2,3,0,0,7,5,6,4
농산물,3,4,2,8,1,0,0,1,1,8,5,0,1,3,3,0,0,9,7,6,13
농산물,3,2,8,2,0,0,0,0,0,4,2,0,7,7,2,0,0,9,7,7,19
농산물,5,1,1,6,8,0,0,0,0,1,3,0,0,7,4,0,0,9,10,1,12
스킨케어,3,5,0,1,1,0,0,0,5,9,4,0,3,5,2,0,0,10,3,1,4
축산,8,1,1,5,4,5,0,0,0,0,1,0,4,8,4,0,0,7,13,7,15
농산물,3,1,1,2,6,0,0,0,0,1,5,0,5,6,2,0,0,9,9,7,13
농산물,3,4,1,1,9,7,0,0,0,0,9,0,5,3,3,0,0,7,7,8,18
기타식품,3,4,1,3,9,0,0,0,0,8,7,0,0,4,1,0,0,7,8,2,12
농산물,4,4,1,4,6,3,0,0,0,2,9,0,3,8,4,0,0,7,7,8,18
농산물,7,5,0,1,3,0,0,0,7,8,5,0,4,3,3,0,0,7,3,0,5
반려동물,3,5,0,1,1,0,0,0,2,1,9,0,0,2,1,0,0,14,3,6,12
완구/매트,3,2,6,4,4,0,0,0,1,3,3,0,9,6,3,0,0,7,13,7,15
과자,4,2,8,1,8,5,0,0,0,0,8,0,2,0,1,0,0,7,4,8,13
문화컨텐츠,4,5,0,1,1,0,0,0,3,1,4,0,9,0,1,0,0,17,15,0,9
농산물,4,2,8,2,4,5,0,0,0,2,8,0,9,7,3,0,0,7,7,7,20
생활용품,4,5,0,1,1,0,0,0,2,6,4,0,8,0,4,0,0,14,3,6,12
농산물,4,1,1,3,5,0,0,0,0,1,7,0,6,2,1,0,0,7,14,5,14
아우터,3,5,0,1,1,0,0,0,3,1,9,0,6,2,4,0,0,16,10,8,16
농산물,3,1,1,2,9,0,0,0,0,0,5,0,2,5,2,0,0,9,7,0,14
문화컨텐츠,5,5,0,1,1,0,0,0,3,7,3,0,3,8,2,0,0,17,15,0,9
농산물,3,1,1,3,0,5,0,0,0,1,3,0,1,4,2,0,0,9,14,7,10
농산물,3,1,1,1,4,0,0,0,0,0,1,0,1,7,4,0,0,7,4,8,13
농산물,3,2,6,3,5,0,0,0,0,3,9,0,6,1,4,0,0,7,7,8,18
과자,3,2,7,2,3,0,0,0,0,9,0,0,4,4,3,0,0,7,2,8,10
농산물,3,4,6,8,4,0,0,0,2,5,3,0,0,8,1,0,0,7,7,8,18
농산물,3,4,1,5,9,0,0,0,6,0,6,0,5,3,1,0,0,9,10,4,17
기저귀/물티슈,3,5,0,1,1,0,0,0,7,2,1,0,5,6,3,0,0,17,3,6,12
하의,3,5,0,1,1,0,0,0,3,1,6,0,3,1,3,0,0,10,3,1,4
신발,3,5,0,1,3,0,0,0,8,6,2,0,2,0,2,0,0,4,1,6,7
농산물,6,4,3,1,1,1,0,0,0,5,3,0,9,6,3,0,0,7,3,3,10
농산물,3,4,1,1,7,3,0,0,0,1,3,0,8,0,1,0,0,7,7,8,18
농산물,3,1,1,7,1,0,0,0,0,1,7,0,1,1,3,0,0,7,7,7,20
음료,3,2,9,1,7,0,0,0,0,6,0,0,7,7,4,0,0,7,9,2,13
기타식품,4,4,2,1,9,0,0,0,1,2,1,0,8,6,3,0,0,7,10,5,10
문구/사무용품,3,5,0,1,3,0,0,0,8,9,4,0,0,7,2,0,0,15,0,4,5
농산물,3,4,4,2,7,0,0,0,3,1,2,0,0,2,2,0,0,7,4,7,4
헤어케어,27,5,0,1,1,0,0,0,2,5,9,0,0,7,3,0,0,16,2,4,14
선케어,37,5,0,1,1,0,0,0,3,1,4,0,6,9,3,0,0,14,3,4,12
생활용품,3,5,0,1,1,0,0,0,2,6,6,0,8,1,3,0,0,19,6,9,16
농산물,10,4,1,1,1,3,0,0,0,1,1,0,2,1,4,0,0,9,8,9,20
농산물,3,4,8,1,2,5,0,0,0,1,3,0,9,1,3,0,0,7,4,4,10
다이어트식품,4,5,0,1,1,0,0,0,3,1,4,0,7,0,2,0,0,10,3,1,4
건강식품,16,5,0,1,1,0,0,0,3,7,7,0,8,8,4,0,0,9,9,3,15
농산물,3,4,1,5,9,0,0,0,3,4,2,0,0,6,4,0,0,9,11,9,12
기타패션의류,3,4,1,3,9,0,0,0,0,8,8,0,6,2,4,0,0,7,9,3,6
농산물,4,4,7,2,1,0,0,0,4,0,8,0,8,3,1,0,0,9,7,0,14
농산물,3,4,6,1,5,0,0,0,5,9,9,0,1,4,4,0,0,7,7,8,18
농산물,3,4,1,4,6,3,0,0,0,3,9,0,7,8,2,0,0,7,8,8,9
농산물,5,1,1,6,8,0,0,0,0,0,8,0,3,4,2,0,0,9,14,7,10
농산물,3,2,8,2,3,7,0,0,0,1,5,0,6,8,1,0,0,9,2,5,5
농산물,5,4,1,2,7,3,0,0,0,2,7,0,9,5,2,0,0,7,7,0,12
농산물,3,4,1,2,1,0,0,0,0,0,9,0,3,2,4,0,0,9,7,0,14
가공식품,4,5,0,1,1,0,0,0,1,7,4,0,6,3,3,0,0,10,3,1,13
농산물,3,5,0,1,3,0,0,0,6,7,4,0,9,3,3,0,0,14,10,3,13
수산,3,4,5,1,4,0,0,0,4,0,0,0,9,7,2,0,0,7,4,6,9
농산물,3,1,1,7,1,0,0,0,0,1,4,0,9,1,4,0,0,9,10,1,12
가공식품,3,5,0,1,3,0,0,0,8,6,6,0,4,5,3,0,0,10,3,1,13
농산물,5,1,1,4,7,0,0,0,0,1,1,0,4,1,3,0,0,9,13,4,11
농산물,3,4,8,1,2,1,0,0,2,0,7,0,0,3,4,0,0,7,7,8,18
축산,5,3,1,1,4,0,0,0,0,1,7,0,5,4,1,0,0,9,10,4,20
농산물,4,2,6,1,4,0,0,0,0,0,4,0,7,7,2,0,0,7,7,8,18
기타식품,4,5,0,1,1,0,0,0,2,1,8,0,6,1,1,0,0,14,8,3,18
기타디지털/가전,3,5,0,1,1,0,0,0,2,6,4,1,0,0,2,0,0,10,0,9,11
생활용품,3,5,0,1,1,0,0,0,3,6,7,0,2,2,2,0,0,17,3,6,12
음반,3,4,8,1,2,5,0,0,0,2,0,0,5,7,4,0,0,7,14,5,11
농산물,5,4,1,2,2,0,0,0,2,9,8,0,8,0,3,0,0,9,9,3,15
바디케어,3,5,0,1,1,0,0,0,2,6,6,0,4,7,3,0,0,10,3,1,4
농산물,5,2,9,2,0,0,0,0,0,9,2,0,2,9,1,0,0,7,7,8,18
반려동물,3,5,0,1,3,0,0,0,7,8,2,0,5,6,1,0,0,9,9,3,15
축산,5,4,8,3,1,0,0,0,2,3,1,0,9,2,2,0,0,7,13,2,7
농산물,3,4,8,3,1,0,0,0,2,5,4,0,1,7,2,0,0,7,7,8,18
가공식품,5,4,1,1,5,0,0,0,0,4,4,0,8,2,3,0,0,7,4,7,9
농산물,3,4,1,5,7,0,0,0,2,1,0,0,4,8,2,0,0,9,7,0,14
농산물,3,2,8,1,4,0,0,0,0,0,3,0,9,9,2,0,0,7,7,8,18
농산물,3,1,1,5,6,0,0,0,0,1,8,0,9,6,2,0,0,9,11,2,7
농산물,7,2,7,2,3,0,0,0,0,3,7,0,2,1,3,0,0,7,15,8,17
농산물,8,4,4,1,8,0,0,0,2,6,5,0,6,9,4,0,0,7,3,4,17
냉동/간편조리식품,3,5,0,1,3,0,0,0,7,7,0,0,3,4,1,0,0,10,0,5,10
농산물,4,4,1,4,8,0,0,0,5,8,5,0,2,8,4,0,0,7,8,6,8
농산물,3,2,7,7,1,0,0,0,3,3,6,0,4,3,4,0,0,9,13,1,15
수산,11,4,3,1,3,0,0,0,6,3,9,0,2,9,1,0,0,7,4,6,9
농산물,4,2,8,2,6,0,0,0,0,6,7,0,9,0,4,0,0,9,11,0,10
농산물,6,3,0,2,0,0,0,0,1,6,3,0,9,6,2,0,0,7,7,8,18
네일케어,3,5,0,1,1,0,0,0,3,2,0,0,8,1,2,0,0,16,0,2,12
농산물,4,1,1,5,0,0,0,0,0,3,8,0,6,4,1,0,0,7,7,8,18
농산물,3,1,1,2,9,0,0,0,0,0,9,0,8,8,4,0,0,9,10,1,12
농산물,4,4,1,6,3,0,0,0,1,0,5,0,9,2,3,0,0,9,10,1,12
농산물,3,4,1,5,9,0,0,0,3,4,2,0,1,5,4,0,0,7,7,8,18
건강용품,4,5,0,1,1,0,0,0,3,7,3,0,6,5,3,0,0,17,6,5,11
농산물,4,2,8,1,7,0,0,0,0,2,1,0,1,6,3,0,0,7,7,8,18
농산물,3,4,1,1,9,5,0,0,0,0,1,0,7,5,2,0,0,9,7,0,14
냉동/간편조리식품,3,5,0,1,1,0,0,0,3,7,3,0,2,7,3,0,0,19,3,5,8
가공식품,4,5,0,1,1,0,0,0,0,9,2,0,1,1,4,0,0,19,6,9,16
농산물,24,3,0,1,7,0,0,0,0,2,7,0,9,9,1,0,0,7,1,7,4
냉동/간편조리식품,3,2,8,2,6,0,0,0,1,4,2,0,5,5,1,0,0,7,4,4,6
농산물,3,1,1,7,1,0,0,0,0,0,2,0,1,2,1,0,0,7,7,8,18
음반,4,1,1,6,8,0,0,0,0,1,3,0,7,0,1,0,0,7,14,5,11
농산물,6,4,1,1,3,1,0,0,0,2,0,0,9,8,3,0,0,7,7,8,18
농산물,3,4,7,8,3,0,0,0,2,8,7,0,2,8,3,0,0,7,5,6,4
서재/사무용가구,3,5,0,1,1,0,0,0,2,1,4,0,7,9,4,0,0,14,8,2,3
과자,10,5,0,1,3,0,0,0,8,0,9,0,9,6,3,0,0,5,2,3,15
문화컨텐츠,31,5,0,1,1,0,0,0,3,1,9,0,3,3,2,0,0,17,15,0,9
농산물,4,4,2,7,8,0,0,0,5,8,1,0,5,5,1,0,0,9,6,3,15
농산물,3,4,1,4,1,0,0,0,0,0,3,0,1,4,2,0,0,9,7,0,14
농산물,3,4,1,1,3,1,0,0,0,2,5,0,1,8,2,0,0,7,4,7,4
반려동물,3,5,0,1,1,0,0,0,3,1,4,0,7,0,2,0,0,10,3,1,4
농산물,3,2,9,1,4,0,0,0,0,2,0,0,1,9,3,0,0,9,15,1,8
농산물,5,1,1,2,1,5,0,0,0,1,1,0,7,2,4,0,0,7,7,8,18
농산물,3,1,1,6,8,0,0,0,0,1,3,0,9,5,4,0,0,9,15,2,11
농산물,6,4,5,1,1,3,0,0,0,7,4,0,3,4,3,0,0,9,7,0,14
문구/사무용품,4,5,0,1,3,0,0,0,4,6,7,0,3,9,1,0,0,13,0,6,18
농산물,5,1,1,5,3,0,0,0,0,0,6,0,2,5,1,0,0,7,7,8,18
건강식품,8,5,0,1,1,0,0,0,3,1,3,0,3,0,1,0,0,12,5,4,6
기타식품,9,5,0,1,1,0,0,0,0,3,5,0,1,0,3,0,0,12,16,1,14
음반,30,5,0,1,3,0,0,0,6,3,5,0,0,5,3,0,0,17,15,9,11
농산물,4,1,1,4,7,0,0,0,0,1,1,0,0,9,4,0,0,9,10,1,12
농산물,3,3,0,1,1,0,0,0,0,8,4,0,7,5,1,0,0,9,8,4,12
농산물,3,4,1,2,2,0,0,0,3,1,4,0,9,2,3,0,0,9,10,1,12
기타식품,3,5,0,1,1,0,0,0,1,1,2,0,5,3,1,0,0,13,0,7,8
음료,4,3,6,1,1,0,0,0,3,7,3,0,0,4,3,0,0,7,4,4,17
선글라스/안경테,3,5,0,1,1,0,0,0,3,7,3,0,1,1,4,0,0,16,0,7,4
과자,5,4,1,1,1,7,0,0,0,2,0,0,4,5,4,0,0,9,7,8,5
기타식품,5,5,0,1,3,0,0,0,7,3,2,0,8,1,2,0,0,19,0,8,15
기타화장품/미용,3,5,0,1,1,0,0,0,2,6,6,0,0,3,2,0,0,16,1,5,13
하의,3,5,0,1,3,0,0,0,6,3,5,0,7,2,3,0,0,13,2,2,13
농산물,3,4,1,5,9,0,0,0,3,0,3,0,0,4,2,0,0,7,6,0,7
농산물,4,2,8,1,8,5,0,0,0,2,7,0,0,5,4,0,0,9,13,8,9
아우터,3,5,0,1,1,0,0,0,3,7,3,0,6,4,4,0,0,21,9,9,17
농산물,3,4,1,2,7,3,0,0,0,0,8,0,9,3,1,0,0,9,6,8,14
농산물,3,4,1,4,6,3,0,0,0,1,0,0,2,3,2,0,0,7,4,7,4
등산,3,5,0,1,1,0,0,0,3,1,9,0,5,1,1,0,0,10,5,2,7
모니터,5,5,0,1,1,0,0,0,3,1,5,0,7,6,1,0,0,10,0,9,17
농산물,6,2,6,3,5,0,0,0,0,5,9,0,1,7,2,0,0,7,14,5,14
농산물,4,2,7,2,9,0,0,0,0,2,1,0,8,1,4,0,0,7,7,8,18
수산,4,5,0,1,1,0,0,0,4,2,3,0,9,3,1,0,0,14,8,2,8
축산,3,2,9,2,0,0,0,0,1,6,5,0,5,7,2,0,0,7,10,7,20
농산물,3,2,8,2,6,0,0,0,0,3,1,0,5,6,2,0,0,9,10,1,12
주방용품,3,5,0,1,1,0,0,0,6,7,2,0,7,2,3,0,0,17,3,6,12
농산물,3,1,1,2,3,0,0,0,0,0,6,0,7,8,1,0,0,9,7,0,14
농산물,6,4,5,1,4,0,0,0,3,5,8,0,8,0,4,0,0,9,14,7,10
농산물,6,4,8,2,2,0,0,0,2,1,7,1,0,0,3,0,0,9,10,3,11
농산물,3,2,8,2,4,5,0,0,0,3,2,0,5,6,2,0,0,9,7,7,19
농산물,3,4,1,5,0,0,0,0,1,5,4,0,4,1,1,0,0,7,7,8,18
건강식품,18,5,0,1,1,0,0,0,3,1,4,0,7,5,3,0,0,10,6,1,11
농산물,3,4,1,3,9,0,0,0,0,1,8,0,3,4,4,0,0,9,7,0,14
농산물,4,2,8,2,4,5,0,0,0,0,6,0,2,6,3,0,0,7,14,5,14
농산물,3,4,6,7,1,0,0,0,2,2,4,0,3,9,4,0,0,9,10,1,12
냉동/간편조리식품,3,5,0,1,3,0,0,0,0,1,4,0,0,3,1,0,0,14,3,0,13
농산물,4,4,1,3,9,0,0,0,1,1,0,0,2,0,1,0,0,9,10,1,12
문구/사무용품,6,5,0,1,1,0,0,0,3,1,9,0,2,2,2,0,0,16,5,6,6
농산물,4,1,1,5,0,0,0,0,0,3,0,0,3,5,3,0,0,9,7,4,15
농산물,3,1,1,3,8,0,0,0,0,2,1,0,0,2,2,0,0,9,10,1,12
농산물,3,4,1,2,7,3,0,0,0,2,5,0,3,4,2,0,0,7,4,7,4
축산,6,5,0,1,1,0,0,0,2,5,8,0,5,0,2,0,0,17,3,8,8
농산물,3,4,4,8,0,0,0,0,1,3,4,0,8,2,1,0,0,9,8,2,13
기타식품,3,5,0,1,1,0,0,0,1,6,8,0,8,4,2,0,0,24,1,2,13
농산물,4,2,6,3,2,0,0,0,0,0,4,0,5,2,4,0,0,7,10,5,2
농산물,4,3,0,2,3,0,0,0,0,6,4,0,2,0,3,0,0,7,11,8,19
색조메이크업,3,5,0,1,1,0,0,0,4,8,5,0,0,7,2,0,0,10,3,1,4
농산물,4,1,1,3,5,0,0,0,0,1,2,0,6,0,3,0,0,9,10,1,12
농산물,3,1,1,5,0,0,0,0,0,2,4,0,5,2,4,0,0,9,9,7,13
농산물,3,1,1,2,9,0,0,0,0,2,3,0,5,5,1,0,0,7,7,8,18
농산물,3,1,1,2,3,0,0,0,0,0,4,0,3,5,4,0,0,9,5,5,5
농산물,3,2,9,1,7,0,0,0,0,3,8,0,0,1,4,0,0,9,10,1,12
침구세트,3,5,0,1,1,0,0,0,3,1,3,0,0,8,4,0,0,10,3,1,4
농산물,5,2,7,2,9,0,0,0,0,4,0,0,0,4,3,0,0,9,2,5,16
농산물,5,3,0,1,7,0,0,0,0,3,3,0,3,0,1,0,0,9,14,7,10
농산물,3,4,7,1,9,0,0,0,5,9,4,0,1,3,1,0,0,7,14,5,14
농산물,3,2,8,2,3,7,0,0,0,0,2,0,9,0,4,0,0,7,7,8,18
농산물,3,1,1,2,0,0,0,0,0,0,1,0,2,8,4,0,0,9,8,3,6
농산물,3,3,0,1,1,0,0,0,0,5,3,0,5,3,1,0,0,7,4,7,4
농산물,3,4,8,2,5,0,0,0,4,1,2,0,5,2,1,0,0,7,4,7,4
농산물,4,2,8,1,8,5,0,0,0,3,3,0,1,0,1,0,0,7,10,9,12
농산물,3,1,1,5,9,0,0,0,0,1,1,0,1,4,4,0,0,9,7,0,14
농산물,4,2,9,1,1,0,0,0,0,1,0,0,6,9,2,0,0,9,14,7,10
농산물,3,4,1,3,7,0,0,0,0,3,9,0,7,9,2,0,0,9,7,6,13
문화컨텐츠,3,5,0,1,1,0,0,0,3,1,6,0,5,1,2,0,0,17,15,0,9
농산물,7,4,1,4,8,0,0,0,6,7,2,0,0,5,3,0,0,9,10,1,12
농산물,10,1,1,7,1,0,0,0,0,2,3,0,2,6,2,0,0,7,4,8,20
농산물,3,4,7,1,9,0,0,0,4,3,5,0,6,1,1,0,0,9,10,1,12
농산물,3,4,1,6,3,0,0,0,1,5,9,0,7,1,1,0,0,9,8,2,13
농산물,3,4,8,2,5,0,0,0,4,2,1,0,9,6,1,0,0,9,10,1,12
농산물,5,2,8,2,6,0,0,0,1,4,2,0,6,0,3,0,0,9,10,1,12
농산물,4,2,8,2,6,0,0,0,0,2,6,0,4,2,2,0,0,7,7,8,18
침구단품,3,5,0,1,1,0,0,0,5,5,6,0,6,9,3,0,0,20,0,7,9
농산물,3,4,1,6,3,0,0,0,1,3,8,0,8,9,3,0,0,9,10,1,12
농산물,3,4,1,5,9,0,0,0,1,7,9,0,2,0,3,0,0,7,4,7,4
농산물,3,4,5,1,4,0,0,0,3,8,1,0,0,3,3,0,0,7,6,4,17
농산물,3,5,0,1,1,0,0,0,1,5,7,0,5,8,3,0,0,16,4,6,15
농산물,3,2,8,2,0,0,0,0,0,5,5,0,9,8,3,0,0,7,7,5,11
농산물,3,1,1,4,4,0,0,0,0,1,8,0,5,1,3,0,0,9,7,0,14
문화컨텐츠,3,5,0,1,1,0,0,0,2,6,3,0,6,6,1,0,0,17,15,0,9
농산물,3,4,3,7,1,0,0,0,1,5,9,0,6,1,3,0,0,7,7,7,20
농산물,3,3,0,1,1,0,0,0,0,6,0,0,7,9,3,0,0,9,15,3,13
농산물,3,4,4,7,9,0,0,0,0,7,1,0,0,2,2,0,0,7,7,8,18
가공식품,100,5,0,1,1,0,0,0,3,1,9,0,8,7,4,0,0,17,8,6,7
기타패션의류,4,4,4,1,5,0,0,0,4,8,3,0,3,1,4,0,0,9,13,1,4
농산물,3,2,6,5,3,0,0,0,0,0,3,0,1,0,1,0,0,9,13,3,4
농산물,3,2,8,1,7,0,0,0,0,0,9,0,5,7,3,0,0,9,8,4,12
음료,3,2,8,1,8,5,0,0,0,1,4,0,3,5,1,0,0,7,4,5,6
냉동/간편조리식품,3,5,0,1,1,0,0,0,2,6,6,0,9,3,2,0,0,7,3,5,19
농산물,5,4,5,1,4,0,0,0,3,9,8,0,4,8,1,0,0,7,8,4,12
농산물,3,1,1,4,1,0,0,0,0,0,8,0,6,9,4,0,0,9,14,7,10
음반,3,4,1,6,1,0,0,0,1,6,3,0,3,1,1,0,0,7,14,5,11
농산물,3,4,1,4,6,3,0,0,0,0,9,0,5,3,3,0,0,7,7,8,18
가공식품,3,4,5,1,9,0,0,0,3,3,2,0,8,9,2,0,0,7,3,3,10
